Nome           |  AirDrop #0 |    Top #200 |    Top #100 |      Top #50 |       Top #10
-------------- | ----------- | ----------- | ----------- | ------------ | -------------
Samuel         | 1608996 KGT | R$ 16089.96 | R$ 80449.80 | R$ 209169.48 | R$ 2027334.96
Nicolas        | 1461919 KGT | R$ 14619.19 | R$ 73095.95 | R$ 190049.47 | R$ 1842017.94
Rafael         | 1432023 KGT | R$ 14320.23 | R$ 71601.15 | R$ 186162.99 | R$ 1804348.98
Rigille        | 1211020 KGT | R$ 12110.20 | R$ 60551.00 | R$ 157432.60 | R$ 1525885.20
Kingu          | 1177836 KGT | R$ 11778.36 | R$ 58891.80 | R$ 153118.68 | R$ 1484073.36
Hyago          | 1134698 KGT | R$ 11346.98 | R$ 56734.90 | R$ 147510.74 | R$ 1429719.48
Jogario        | 1093792 KGT | R$ 10937.92 | R$ 54689.60 | R$ 142192.96 | R$ 1378177.92
Corgan         |  939464 KGT |  R$ 9394.64 | R$ 46973.20 | R$ 122130.32 | R$ 1183724.64
Savio          |  860789 KGT |  R$ 8607.89 | R$ 43039.45 | R$ 111902.57 | R$ 1084594.14
HenriqueGodoy  |  851005 KGT |  R$ 8510.05 | R$ 42550.25 | R$ 110630.65 | R$ 1072266.30
Sett           |  755032 KGT |  R$ 7550.32 | R$ 37751.60 |  R$ 98154.16 |  R$ 951340.32
IgorV          |  692815 KGT |  R$ 6928.15 | R$ 34640.75 |  R$ 90065.95 |  R$ 872946.90
SergioBonatto  |  684748 KGT |  R$ 6847.48 | R$ 34237.40 |  R$ 89017.24 |  R$ 862782.48
GabrielDel     |  678841 KGT |  R$ 6788.41 | R$ 33942.05 |  R$ 88249.33 |  R$ 855339.66
Etrius         |  640344 KGT |  R$ 6403.44 | R$ 32017.20 |  R$ 83244.72 |  R$ 806833.44
Medina         |  587652 KGT |  R$ 5876.52 | R$ 29382.60 |  R$ 76394.76 |  R$ 740441.52
Danfs          |  559537 KGT |  R$ 5595.37 | R$ 27976.85 |  R$ 72739.81 |  R$ 705016.62
Dasij          |  530892 KGT |  R$ 5308.92 | R$ 26544.60 |  R$ 69015.96 |  R$ 668923.92
Miguel         |  494131 KGT |  R$ 4941.31 | R$ 24706.55 |  R$ 64237.03 |  R$ 622605.06
Lucena         |  452505 KGT |  R$ 4525.05 | R$ 22625.25 |  R$ 58825.65 |  R$ 570156.30
FranchuFranchu |  423857 KGT |  R$ 4238.57 | R$ 21192.85 |  R$ 55101.41 |  R$ 534059.82
_OFF_          |  423857 KGT |  R$ 4238.57 | R$ 21192.85 |  R$ 55101.41 |  R$ 534059.82
Santi          |  423857 KGT |  R$ 4238.57 | R$ 21192.85 |  R$ 55101.41 |  R$ 534059.82
Goldschmidt    |  410768 KGT |  R$ 4107.68 | R$ 20538.40 |  R$ 53399.84 |  R$ 517567.68
AdrianoII      |  391913 KGT |  R$ 3919.13 | R$ 19595.65 |  R$ 50948.69 |  R$ 493810.38
Tren           |  352002 KGT |  R$ 3520.02 | R$ 17600.10 |  R$ 45760.26 |  R$ 443522.52
Mafa           |  339085 KGT |  R$ 3390.85 | R$ 16954.25 |  R$ 44081.05 |  R$ 427247.10
Antoniomsp     |  320057 KGT |  R$ 3200.57 | R$ 16002.85 |  R$ 41607.41 |  R$ 403271.82
Viih           |  303949 KGT |  R$ 3039.49 | R$ 15197.45 |  R$ 39513.37 |  R$ 382975.74
HenriqueT2     |  296460 KGT |  R$ 2964.60 | R$ 14823.00 |  R$ 38539.80 |  R$ 373539.60
CaldasDani     |  272710 KGT |  R$ 2727.10 | R$ 13635.50 |  R$ 35452.30 |  R$ 343614.60
GabrielAlves   |  263994 KGT |  R$ 2639.94 | R$ 13199.70 |  R$ 34319.22 |  R$ 332632.44
Tiago Campos   |  181653 KGT |  R$ 1816.53 |  R$ 9082.65 |  R$ 23614.89 |  R$ 228882.78
Meldinha       |  147078 KGT |  R$ 1470.78 |  R$ 7353.90 |  R$ 19120.14 |  R$ 185318.28
Gatosepudim    |  135628 KGT |  R$ 1356.28 |  R$ 6781.40 |  R$ 17631.64 |  R$ 170891.28
CorsarioChico  |  128366 KGT |  R$ 1283.66 |  R$ 6418.30 |  R$ 16687.58 |  R$ 161741.16
rvcas          |  121102 KGT |  R$ 1211.02 |  R$ 6055.10 |  R$ 15743.26 |  R$ 152588.52
Microproofs    |  121102 KGT |  R$ 1211.02 |  R$ 6055.10 |  R$ 15743.26 |  R$ 152588.52
Juau emoji     |  121102 KGT |  R$ 1211.02 |  R$ 6055.10 |  R$ 15743.26 |  R$ 152588.52
TheClip        |  121102 KGT |  R$ 1211.02 |  R$ 6055.10 |  R$ 15743.26 |  R$ 152588.52
BrianMachado   |   99170 KGT |   R$ 991.70 |  R$ 4958.50 |  R$ 12892.10 |  R$ 124954.20
AdrianoA       |   90826 KGT |   R$ 908.26 |  R$ 4541.30 |  R$ 11807.38 |  R$ 114440.76
Sorveteiro     |   87080 KGT |   R$ 870.80 |  R$ 4354.00 |  R$ 11320.40 |  R$ 109720.80
